Name,Year,Date,Tm,Opp,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
Ronald Acuna Jr.,2023,30/03/2023,ATL,WSN,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,1,0.91,0.078,0.9,0.0005,0.72,11,12,RF
Ronald Acuna Jr.,2023,01/04/2023,ATL,WSN,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.273,0.273,0.545,0.818,1,0.45,0.067,0.49,0.0004,-0.33,14,18.7,RF
Ronald Acuna Jr.,2023,02/04/2023,ATL,WSN,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.231,0.333,0.462,0.795,1,0.82,0.018,0.9,0.0001,0.33,6,9.2,RF
Ronald Acuna Jr.,2023,03/04/2023,ATL,STL,5,4,2,3,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0.353,0.45,0.765,1.215,1,0.64,0.131,0.64,0.0008,2.41,30,40.9,RF
Ronald Acuna Jr.,2023,04/04/2023,ATL,STL,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.364,0.44,0.682,1.122,1,0.71,-0.008,0.75,0,-0.81,13,15.2,RF
Ronald Acuna Jr.,2023,05/04/2023,ATL,STL,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.37,0.433,0.63,1.063,1,0.32,0.024,0.35,0.0002,-0.06,10,12.4,RF
Ronald Acuna Jr.,2023,06/04/2023,ATL,SDP,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.355,0.429,0.613,1.041,1,1.45,-0.027,1.63,-0.0002,0.12,9,12.2,RF
Ronald Acuna Jr.,2023,07/04/2023,ATL,SDP,5,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0.314,0.4,0.543,0.943,1,1.61,-0.128,1.89,-0.0009,-0.57,16,21.4,RF
Ronald Acuna Jr.,2023,08/04/2023,ATL,SDP,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.282,0.364,0.487,0.851,1,1.03,-0.11,1.16,-0.0008,-1.06,0,0,RF
Ronald Acuna Jr.,2023,09/04/2023,ATL,SDP,4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.31,0.396,0.5,0.896,1,0.5,0.057,0.55,0.0004,0.86,15,18.5,RF
Ronald Acuna Jr.,2023,10/04/2023,ATL,CIN,5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.34,0.415,0.511,0.926,1,1.02,0.033,1.09,0.0002,0.78,9,9,RF
Ronald Acuna Jr.,2023,11/04/2023,ATL,CIN,5,3,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0.34,0.431,0.5,0.931,1,0.92,0.078,1.03,0.0005,1.07,9,12.5,RF
Ronald Acuna Jr.,2023,12/04/2023,ATL,CIN,4,4,0,3,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0.37,0.452,0.537,0.989,1,1.85,0.277,2.07,0.0019,2.46,22,28.5,RF
Ronald Acuna Jr.,2023,14/04/2023,ATL,KCR,5,5,3,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.39,0.463,0.593,1.056,1,0.33,0.078,0.36,0.0005,2.04,26,34.6,RF
Ronald Acuna Jr.,2023,15/04/2023,ATL,KCR,6,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.365,0.452,0.556,1.008,1,0.54,0.006,0.62,0,-0.14,8,12.4,RF
Ronald Acuna Jr.,2023,16/04/2023,ATL,KCR,4,4,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.373,0.455,0.567,1.022,1,1.2,0.177,1.37,0.0012,0.67,15,18.2,RF
Ronald Acuna Jr.,2023,17/04/2023,ATL,SDP,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.463,0.583,1.047,1,0.79,0.081,0.95,0.0006,1.06,13,15.2,RF
Ronald Acuna Jr.,2023,18/04/2023,ATL,SDP,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.368,0.448,0.553,1.001,1,0.85,-0.144,1.02,-0.0011,-1.63,4,6.2,RF
Ronald Acuna Jr.,2023,19/04/2023,ATL,SDP,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.367,0.451,0.544,0.995,1,1.63,0.028,1.99,0.0002,0.83,10,12,RF
Ronald Acuna Jr.,2023,21/04/2023,ATL,HOU,5,5,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.369,0.448,0.56,1.007,1,0.89,-0.008,1.02,-0.0001,0.25,12,15.2,RF
