Year,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
2023,Ronald Acuna Jr.,25,ATL,NL,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3
2023,Jose Altuve,33,HOU,AL,90,410,360,76,112,21,2,17,51,14,2,44,71,0.311,0.393,0.522,0.915,151,188,9,5,0,1,0
2023,Yordan Alvarez,26,HOU,AL,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.99,170,239,7,13,0,4,5
2023,Nolan Arenado,32,STL,NL,144,612,560,71,149,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,109,257,21,3,0,8,5
2023,Mookie Betts,30,LAD,NL,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163,338,5,8,0,5,3
2023,Alex Bregman,29,HOU,AL,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,274,22,8,0,2,1
2023,Carlos Correa,28,MIN,AL,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,205,30,4,0,3,3
2023,Rafael Devers,26,BOS,AL,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126,290,15,11,0,3,10
2023,Freddie Freeman,33,LAD,NL,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.976,161,361,14,16,0,5,12
2023,Paul Goldschmidt,35,STL,NL,154,687,593,89,159,31,0,25,80,11,2,87,161,0.268,0.363,0.447,0.81,120,265,12,3,0,3,6
2023,Vladimir Guerrero Jr.,24,TOR,AL,156,682,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,117,267,23,9,0,4,5
2023,Bryce Harper,30,PHI,NL,126,546,457,84,134,29,1,21,72,11,3,80,119,0.293,0.401,0.499,0.9,146,228,10,5,0,4,8
2023,Aaron Judge,31,NYY,AL,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175,225,5,0,0,3,9
2023,Francisco Lindor,29,NYM,NL,160,687,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.47,0.806,120,283,8,12,0,7,1
2023,Manny Machado,30,SDP,NL,138,601,543,75,140,21,0,30,91,3,2,50,109,0.258,0.319,0.462,0.782,115,251,20,2,0,6,1
2023,Shohei Ohtani,28,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325,9,3,0,3,21
2023,Jose Ramirez,30,CLE,AL,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,131,290,8,1,0,6,22
2023,J.T. Realmuto,32,PHI,NL,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.31,0.452,0.762,106,221,10,9,0,5,3
2023,Austin Riley,26,ATL,NL,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4
2023,Julio Rodriguez,22,SEA,AL,155,714,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,128,317,14,11,0,2,6
2023,Juan Soto,24,SDP,NL,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.41,0.519,0.93,158,295,18,2,1,5,11
2023,Fernando Tatis Jr.,24,SDP,NL,141,635,575,91,148,33,1,25,78,29,4,53,141,0.257,0.322,0.449,0.77,113,258,17,3,1,3,0
2023,Mike Trout,31,LAA,AL,82,362,308,54,81,14,1,18,44,2,0,45,104,0.263,0.367,0.49,0.858,131,151,4,7,0,2,2
2023,Kyle Tucker,26,HOU,AL,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,297,11,3,0,10,9
2023,Trea Turner,30,PHI,NL,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,111,293,12,6,0,1,2
2022,Ronald Acuna Jr.,24,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,193,8,10,0,3,4
